p_out,placement,seed,radical_fraction,bridge_radical
0.01,nonbridge_biased,18,0.24805000000000002,0.2824285714285714
0.01,nonbridge_biased,19,0.22725,0.19485714285714287
0.01,nonbridge_biased,20,0.2066833333333333,0.17699999999999996
0.01,nonbridge_biased,21,0.23825,0.252
0.01,nonbridge_biased,22,0.21618333333333334,0.2901428571428571
0.01,nonbridge_biased,23,0.20185000000000003,0.19085714285714284
0.01,nonbridge_biased,24,0.23423333333333335,0.3712857142857142
0.01,nonbridge_biased,25,0.24856666666666666,0.2532857142857143
0.01,nonbridge_biased,26,0.2317833333333333,0.27214285714285713
0.01,nonbridge_biased,27,0.18821666666666667,0.2332857142857143
0.01,nonbridge_biased,28,0.20785,0.27514285714285713
0.01,nonbridge_biased,29,0.25066666666666665,0.2998571428571429
0.01,nonbridge_biased,30,0.22738333333333333,0.21842857142857142
0.01,nonbridge_biased,31,0.22534999999999997,0.2244285714285714
0.01,nonbridge_biased,32,0.22255,0.2564285714285714
0.01,nonbridge_biased,33,0.21293333333333334,0.20257142857142857
0.01,nonbridge_biased,34,0.21153333333333332,0.21999999999999997
0.01,nonbridge_biased,35,0.2423,0.16785714285714284
0.01,nonbridge_biased,36,0.21383333333333335,0.20014285714285712
0.01,nonbridge_biased,37,0.1774666666666667,0.15442857142857142
0.01,nonbridge_biased,38,0.21521666666666664,0.283
0.01,nonbridge_biased,39,0.2215,0.1834285714285714
0.01,nonbridge_biased,40,0.2253666666666667,0.2818571428571429
0.01,nonbridge_biased,41,0.25754999999999995,0.25885714285714284
0.01,nonbridge_biased,42,0.22781666666666667,0.22385714285714284
0.01,nonbridge_biased,43,0.22936666666666666,0.254
0.01,nonbridge_biased,44,0.23168333333333332,0.2
0.01,nonbridge_biased,45,0.22343333333333332,0.2841428571428571
0.01,nonbridge_biased,46,0.22781666666666667,0.27414285714285713
0.01,nonbridge_biased,47,0.2317,0.35528571428571426
0.01,nonbridge_biased,48,0.2126666666666667,0.19742857142857143
0.01,nonbridge_biased,49,0.22303333333333333,0.30357142857142855
0.01,nonbridge_biased,50,0.22283333333333336,0.279
0.02,bridge_biased,1,0.24845,0.37585714285714283
0.02,bridge_biased,2,0.26280000000000003,0.4091428571428571
0.02,bridge_biased,3,0.2534666666666666,0.2814285714285715
0.02,bridge_biased,4,0.22126666666666664,0.305
0.02,bridge_biased,5,0.19803333333333334,0.24742857142857144
0.02,bridge_biased,6,0.25023333333333336,0.384
0.02,bridge_biased,7,0.25016666666666665,0.40471428571428575
0.02,bridge_biased,8,0.23186666666666667,0.30971428571428566
0.02,bridge_biased,9,0.24209999999999998,0.2785714285714286
0.02,bridge_biased,10,0.21286666666666668,0.30857142857142855
0.02,bridge_biased,11,0.23081666666666667,0.26085714285714284
0.02,bridge_biased,12,0.24183333333333332,0.31657142857142856
0.02,bridge_biased,13,0.23998333333333335,0.3138571428571429
0.02,bridge_biased,14,0.2541333333333333,0.45814285714285713
0.02,bridge_biased,15,0.2559,0.3342857142857143
0.02,bridge_biased,16,0.2321666666666667,0.27414285714285713
0.02,bridge_biased,17,0.2347,0.28
0.02,bridge_biased,18,0.2624666666666666,0.326
0.02,bridge_biased,19,0.228,0.33642857142857147
0.02,bridge_biased,20,0.24406666666666665,0.35057142857142853
0.02,bridge_biased,21,0.26326666666666665,0.28771428571428564
0.02,bridge_biased,22,0.22231666666666666,0.20114285714285712
0.02,bridge_biased,23,0.23731666666666668,0.22785714285714284
0.02,bridge_biased,24,0.22193333333333334,0.18557142857142855
0.02,bridge_biased,25,0.25189999999999996,0.34528571428571425
0.02,bridge_biased,26,0.2332,0.303
0.02,bridge_biased,27,0.2506,0.30328571428571427
0.02,bridge_biased,28,0.26035,0.27342857142857147
0.02,bridge_biased,29,0.20926666666666666,0.226
0.02,bridge_biased,30,0.23818333333333333,0.304
0.02,bridge_biased,31,0.25326666666666664,0.31957142857142856
0.02,bridge_biased,32,0.22738333333333333,0.3624285714285714
0.02,bridge_biased,33,0.21776666666666666,0.255
0.02,bridge_biased,34,0.23203333333333334,0.34128571428571436
0.02,bridge_biased,35,0.2332333333333333,0.22585714285714284
0.02,bridge_biased,36,0.22960000000000003,0.39171428571428574
0.02,bridge_biased,37,0.21205000000000002,0.2725714285714286
0.02,bridge_biased,38,0.22241666666666665,0.16271428571428573
0.02,bridge_biased,39,0.2625333333333333,0.33242857142857146
0.02,bridge_biased,40,0.23328333333333334,0.24328571428571424
0.02,bridge_biased,41,0.20881666666666665,0.19857142857142857
0.02,bridge_biased,42,0.23014999999999997,0.2878571428571428
0.02,bridge_biased,43,0.21725,0.21785714285714283
0.02,bridge_biased,44,0.26054999999999995,0.32257142857142856
0.02,bridge_biased,45,0.24321666666666666,0.2658571428571429
0.02,bridge_biased,46,0.26613333333333333,0.24971428571428572
0.02,bridge_biased,47,0.24256666666666665,0.27842857142857147
0.02,bridge_biased,48,0.23218333333333332,0.2521428571428571
0.02,bridge_biased,49,0.24583333333333332,0.3788571428571429
0.02,bridge_biased,50,0.2208,0.28957142857142854
0.02,nonbridge_biased,1,0.24583333333333335,0.36371428571428566
