theta,placement,seed,peak_D,early_D,tail_D,peak_dcomm,bridge_radical_tail
0.2,nonbridge_biased,38,0.75,0.14204166666666665,0.0,6.0,0.2788571428571429
0.2,nonbridge_biased,39,0.75,0.15779166666666664,0.0,6.0,0.25785714285714284
0.2,nonbridge_biased,40,0.7208333333333333,0.1477083333333333,0.0,6.0,0.38642857142857145
0.2,nonbridge_biased,41,0.7791666666666667,0.11816666666666664,0.0,6.0,0.24228571428571427
0.2,nonbridge_biased,42,0.7041666666666667,0.13212499999999996,0.0,6.0,0.31742857142857145
0.2,nonbridge_biased,43,0.7,0.13520833333333332,0.0,6.0,0.2831428571428571
0.2,nonbridge_biased,44,0.7583333333333333,0.13291666666666666,0.0,6.0,0.3337142857142857
0.2,nonbridge_biased,45,0.7,0.15204166666666666,0.0,6.0,0.26985714285714285
0.2,nonbridge_biased,46,0.7625,0.13891666666666666,0.0,6.0,0.2808571428571429
0.2,nonbridge_biased,47,0.7583333333333333,0.13758333333333334,0.0,6.0,0.3261428571428571
0.2,nonbridge_biased,48,0.7375,0.1458333333333333,0.0,6.0,0.39157142857142857
0.2,nonbridge_biased,49,0.7708333333333334,0.1410833333333333,0.0,6.0,0.194
0.2,nonbridge_biased,50,0.7041666666666667,0.14091666666666666,0.0,6.0,0.26742857142857146
0.2,highdeg_nonbridge,1,0.7916666666666666,0.1445833333333333,0.0,6.0,0.34485714285714286
0.2,highdeg_nonbridge,2,0.7666666666666667,0.13295833333333335,0.0,6.0,0.1954285714285714
0.2,highdeg_nonbridge,3,0.75,0.14804166666666663,0.0,6.0,0.207
0.2,highdeg_nonbridge,4,0.8041666666666667,0.1665416666666667,0.0,6.0,0.3001428571428571
0.2,highdeg_nonbridge,5,0.7916666666666666,0.15049999999999997,0.0,6.0,0.23314285714285712
0.2,highdeg_nonbridge,6,0.8166666666666667,0.14254166666666665,0.0,6.0,0.4615714285714286
0.2,highdeg_nonbridge,7,0.7541666666666667,0.1606666666666667,0.0,6.0,0.24714285714285714
0.2,highdeg_nonbridge,8,0.8166666666666667,0.14679166666666665,0.0,6.0,0.34885714285714287
0.2,highdeg_nonbridge,9,0.7583333333333333,0.13554166666666667,0.0,6.0,0.314
0.2,highdeg_nonbridge,10,0.8083333333333333,0.1840416666666667,0.0,6.0,0.32757142857142857
0.2,highdeg_nonbridge,11,0.7791666666666667,0.163125,0.0,6.0,0.29642857142857143
0.2,highdeg_nonbridge,12,0.7833333333333333,0.12770833333333334,0.0,6.0,0.288
0.2,highdeg_nonbridge,13,0.75,0.17070833333333332,0.0,6.0,0.25199999999999995
0.2,highdeg_nonbridge,14,0.7958333333333333,0.11170833333333331,0.0,6.0,0.328
0.2,highdeg_nonbridge,15,0.7625,0.1474583333333333,0.0,6.0,0.40571428571428575
0.2,highdeg_nonbridge,16,0.7541666666666667,0.14091666666666666,0.0,6.0,0.3557142857142857
0.2,highdeg_nonbridge,17,0.7916666666666666,0.1597916666666667,0.0,6.0,0.32128571428571434
0.2,highdeg_nonbridge,18,0.7375,0.1627916666666667,0.0,6.0,0.2698571428571428
0.2,highdeg_nonbridge,19,0.7541666666666667,0.14279166666666665,0.0,6.0,0.3514285714285714
0.2,highdeg_nonbridge,20,0.7791666666666667,0.16625,0.0,6.0,0.30042857142857143
0.2,highdeg_nonbridge,21,0.8,0.12383333333333332,0.0,6.0,0.44271428571428567
0.2,highdeg_nonbridge,22,0.7708333333333334,0.14604166666666668,0.0,6.0,0.324
0.2,highdeg_nonbridge,23,0.7625,0.14941666666666664,0.0,6.0,0.26242857142857146
0.2,highdeg_nonbridge,24,0.7833333333333333,0.12349999999999998,0.0,6.0,0.31357142857142856
0.2,highdeg_nonbridge,25,0.8166666666666667,0.1932916666666666,0.0,6.0,0.28485714285714286
0.2,highdeg_nonbridge,26,0.775,0.13445833333333332,0.0,6.0,0.2884285714285714
0.2,highdeg_nonbridge,27,0.7958333333333333,0.15933333333333335,0.0,6.0,0.22714285714285712
0.2,highdeg_nonbridge,28,0.8,0.16945833333333332,0.0,6.0,0.2728571428571429
0.2,highdeg_nonbridge,29,0.7791666666666667,0.12549999999999997,0.0,6.0,0.28514285714285714
0.2,highdeg_nonbridge,30,0.7833333333333333,0.13274999999999998,0.0,6.0,0.24842857142857144
0.2,highdeg_nonbridge,31,0.8208333333333333,0.15087499999999998,0.0,6.0,0.32785714285714285
0.2,highdeg_nonbridge,32,0.8125,0.12641666666666665,0.0,6.0,0.299
0.2,highdeg_nonbridge,33,0.8375,0.1606666666666667,0.0,6.0,0.25242857142857145
0.2,highdeg_nonbridge,34,0.7916666666666666,0.14858333333333332,0.0,6.0,0.2622857142857143
0.2,highdeg_nonbridge,35,0.7916666666666666,0.17308333333333334,0.0,6.0,0.1824285714285714
0.2,highdeg_nonbridge,36,0.775,0.16,0.0,6.0,0.24142857142857138
0.2,highdeg_nonbridge,37,0.7666666666666667,0.12437499999999996,0.0,6.0,0.4037142857142857
0.2,highdeg_nonbridge,38,0.8208333333333333,0.12558333333333332,0.0,6.0,0.3762857142857143
0.2,highdeg_nonbridge,39,0.7833333333333333,0.14941666666666667,0.0,6.0,0.43
0.2,highdeg_nonbridge,40,0.7541666666666667,0.1618333333333333,0.0,6.0,0.27814285714285714
0.2,highdeg_nonbridge,41,0.7375,0.13566666666666663,0.0,6.0,0.29371428571428565
0.2,highdeg_nonbridge,42,0.8083333333333333,0.15308333333333332,0.0,6.0,0.2758571428571429
